File1,File2,Similarity Score
14.html,39.html,0.09619608521461487
14.html,4.html,0.11104989051818848
14.html,40.html,0.33447518944740295
14.html,41.html,0.2572725713253021
14.html,5.html,0.21570804715156555
14.html,6.html,0.4289403557777405
14.html,7.html,0.36084529757499695
14.html,8.html,0.126324862241745
14.html,9.html,0.3308946192264557
15.html,16.html,0.38127613067626953
15.html,17.html,0.30358052253723145
15.html,18.html,0.43219050765037537
15.html,19.html,0.4402918815612793
15.html,2.html,0.2674993872642517
15.html,20.html,0.3824259042739868
15.html,21.html,0.22305482625961304
15.html,22.html,0.4906841516494751
15.html,23.html,0.5652034282684326
15.html,24.html,0.38274943828582764
15.html,25.html,0.3184138238430023
15.html,26.html,0.5111448764801025
15.html,27.html,0.32370713353157043
15.html,28.html,0.5046741366386414
15.html,29.html,0.273574560880661
15.html,3.html,0.43518197536468506
15.html,30.html,0.37118059396743774
15.html,31.html,0.5374845862388611
15.html,32.html,0.40569448471069336
15.html,33.html,0.3163754343986511
15.html,34.html,0.38897886872291565
15.html,35.html,0.4242989122867584
15.html,36.html,0.3127055764198303
15.html,37.html,0.278072714805603
15.html,38.html,0.3383811116218567
15.html,39.html,0.599716305732727
15.html,4.html,0.4425675570964813
15.html,40.html,0.5196775794029236
15.html,41.html,0.4362710118293762
15.html,5.html,0.7065310478210449
15.html,6.html,0.3524818420410156
15.html,7.html,0.18143050372600555
15.html,8.html,0.39701563119888306
15.html,9.html,0.35642191767692566
16.html,17.html,0.5568734407424927
16.html,18.html,0.3618318438529968
16.html,19.html,0.28789398074150085
16.html,2.html,0.510882556438446
16.html,20.html,0.4646231234073639
16.html,21.html,0.22815141081809998
16.html,22.html,0.35210782289505005
16.html,23.html,0.3930194675922394
16.html,24.html,0.3023694157600403
16.html,25.html,0.33811765909194946
16.html,26.html,0.30828219652175903
16.html,27.html,0.3329918384552002
16.html,28.html,0.2845178246498108
16.html,29.html,0.29703664779663086
16.html,3.html,0.5524210929870605
16.html,30.html,0.5901981592178345
16.html,31.html,0.3330579400062561
16.html,32.html,0.5399227738380432
16.html,33.html,0.6018304228782654
16.html,34.html,0.40804755687713623
16.html,35.html,0.24074949324131012
16.html,36.html,0.2965189516544342
16.html,37.html,0.4602198004722595
16.html,38.html,0.37919408082962036
16.html,39.html,0.1809132993221283
16.html,4.html,0.2837755084037781
16.html,40.html,0.36431413888931274
16.html,41.html,0.35355639457702637
16.html,5.html,0.26667866110801697
16.html,6.html,0.2573022246360779
16.html,7.html,0.33592212200164795
16.html,8.html,0.2751869559288025
16.html,9.html,0.6333474516868591
